FI TOT RoR,ee,se,DE_RoR,SP RoR,PL RoR,,
16.126725,0,0,3.275139865,3.486417187,0.619939432,,671.946875
16.323525,0,0,3.247701327,3.471228034,0.609077066,,680.146875
16.52175,0,0,3.217772467,3.448778631,0.601025741,,688.40625
16.772325,0,0,3.205200846,3.442698987,0.593163218,,698.846875
16.98765,0,0,3.184955735,3.436661,0.588208233,,707.81875
17.14845,0,0,3.174004323,3.44435523,0.583563722,,714.51875
17.2779,0,0,3.155311912,3.455709483,0.580047823,,719.9125
17.34495,0,0,3.13568188,3.454497334,0.577236782,,722.70625
17.34495,0,0,3.116329385,3.472603913,0.572940505,,722.70625
17.303475,0,0,3.096151783,3.48961307,0.568619054,,720.978125
17.245575,0,0,3.089438417,3.509649018,0.564368927,,718.565625
17.144925,0,0,3.08659555,3.524941061,0.559577571,,714.371875
17.011425,0,0,3.098087032,3.530742469,0.555843502,,708.809375
16.87965,0,0,3.124887989,3.535654207,0.552784921,,703.31875
16.755525,0,0,3.214314521,3.514351576,0.55317511,,698.146875
16.608225,0,0,3.29642761,3.506919552,0.554975016,,692.009375
16.456275,0,0,3.369427024,3.484432899,0.557110568,,685.678125
16.301175,0,0,3.437160759,3.466918822,0.557479779,,679.215625
16.140525,0,0,3.500506429,3.439708808,0.555864479,,672.521875
15.99225,0,0,3.539016395,3.399959604,0.554278549,,666.34375
15.8631,0,0,3.558083854,3.369911016,0.552986309,,660.9625
15.770025,0,0,3.578629003,3.331954377,0.547544637,,657.084375
15.7068,0,0,3.579956675,3.304325776,0.542828801,,654.45
15.666075,0,0,3.565944868,3.280490477,0.536090694,,652.753125
15.639525,0,0,3.559494036,3.256976427,0.529079874,,651.646875
15.7881,0,0,3.548250086,3.228015662,0.521133438,,657.8375
16.059225,0,0,3.543066917,3.199231511,0.514533785,,669.134375
16.33005,0,0,3.541821757,3.185276596,0.507686593,,680.41875
16.598325,0,0,3.532955613,3.165191858,0.501498107,,691.596875
16.9305,0,0,3.523399381,3.136165388,0.494932019,,705.4375
17.305425,0,0,3.523369377,3.121695499,0.488722555,,721.059375
17.68095,0,0,3.512898027,3.114206855,0.483461293,,736.70625
18.033675,0,0,3.511187806,3.122659164,0.478812587,,751.403125
18.353775,0,0,3.509620104,3.147298518,0.474839369,,764.740625
18.6237,0,0,3.502029125,3.227759115,0.472993312,,775.9875
18.851475,0,0,3.5026142,3.383535444,0.470694132,,785.478125
19.0347,0,0,3.509507589,3.554817698,0.46894877,,793.1125
19.2291,0,0,3.732766381,3.698475126,0.468189369,,801.2125
19.5105,0,0,4.078230933,3.839166819,0.469649432,,812.9375
20.27055,0,0,4.496544879,3.915671685,0.471092713,,844.60625
21.921,0,0,5.085235797,3.998564942,0.473710757,,913.375
23.6286,0,0,5.788353972,4.069787004,0.478388833,,984.525
24.959925,0,0,6.413657111,4.11212327,0.482907476,,1039.996875
25.924125,0,0,6.875379155,4.174198667,0.4878247,,1080.171875
26.8017,0,0,7.210507374,4.241353265,0.492410473,,1116.7375
27.472575,0,0,7.44519764,4.310731605,0.497440978,,1144.690625
27.838575,0,0,7.60020513,4.391717689,0.502836498,,1159.940625
27.96885,0,0,7.696817589,4.508850548,0.508051609,,1165.36875
27.962325,0,0,7.765076392,4.594361905,0.51265836,,1165.096875
27.91095,0,0,7.784353878,4.755604753,0.516547666,,1162.95625
27.798225,0,0,7.78847941,4.909214437,0.520575426,,1158.259375
27.627525,0,0,7.791779835,5.11637274,0.524254953,,1151.146875
27.386775,0,0,7.798830745,5.38109992,0.52689817,,1141.115625
27.101775,0,0,7.847211984,5.641167958,0.532448927,,1129.240625
26.7732,0,0,7.918696203,5.893326041,0.538771672,,1115.55
26.42475,0,0,7.985454812,6.133828205,0.546403438,,1101.03125
26.04105,0,0,8.047487812,6.359337547,0.552570946,,1085.04375
25.661775,0,0,8.096919186,6.616221423,0.55938877,,1069.240625
26.119275,0,0,8.149275938,6.967582296,0.565623407,,1088.303125
27.652575,0,0,8.178979769,7.436833296,0.571270662,,1152.190625
24.5988,0,0,8.198032226,7.986924119,0.57610817,,1024.95
24.3363,0,0,8.205533193,8.55709393,0.580807224,,1014.0125
24.10725,0,0,8.216709635,9.952071122,0.586068486,,1004.46875
23.887725,0,0,8.233361782,13.04607788,0.593070915,,
23.676225,0,0,8.269666464,15.86591531,0.601436909,,
23.491275,0,0,8.321348129,18.01295459,0.621504385,,
23.378325,0,0,8.366128904,19.58881956,0.646073722,,
23.362425,0,0,8.400183296,20.77134485,0.669401167,,
23.4054,0,0,8.425611575,21.64468859,0.689439274,,
23.481675,0,0,8.436037919,22.27353652,0.706926467,,
23.6934,0,0,8.436112929,22.71489091,0.723729779,,
23.8836,0,0,8.43131231,23.08127137,0.738812902,,
23.97675,0,0,8.401083412,23.77288431,0.752926845,,
23.9835,0,0,8.37392991,24.91808967,0.76345776,,
23.9562,0,0,8.344451108,25.98453671,0.773585899,,
23.838,0,0,8.304695981,26.87130232,0.780030315,,
23.745375,0,0,8.28661865,27.56293752,0.786415994,,
