SE1 RoR;SE2 RoR;SE3 RoR;SE4 RoR;NO1 RoR;NO2 RoR;NO3 RoR;NO4 RoR;NO5 RoR;DK RoR;FI1 RoR;FI2 RoR;BNL_RoR;DE_RoR;BAL RoR;PL RoR;IE ROR;UK RoR;FR RoR;CEN RoR;SP RoR;MED RoR
0;0;0;0;6.044790539;1.463475604;0.028922443;0.086767328;0.196672611;0;2.736352282;3.719332718;1.817016;72.40233707;7.71902;5.491851104;0;4.61642051;208.3672514;107.0233381;75.64395743;116.5379374
0;0;0;0;6.191466936;1.498986732;0.029624244;0.088872731;0.201444857;0;2.9141571;3.9610104;1.783819;71.36562838;8.23073;5.652458044;0;4.545652055;205.2585122;109.7582313;72.24322504;116.9942668
0;0;0;0;6.33329972;1.533325195;0.030302869;0.090908608;0.206059512;0;2.797125283;3.801937217;1.749709;70.03210641;8.76196;5.772661514;0;4.457645648;202.1380985;111.7772587;69.16398881;117.5884296
0;0;0;0;6.563685561;1.58910282;0.031405194;0.094215582;0.21355532;0;4.381619864;5.955630136;1.707332;68.53536339;9.28693;5.885732492;0;4.354298674;198.579059;113.841043;66.21309753;118.144334
0;0;0;0;6.901592188;1.670911793;0.033021972;0.099065917;0.224549411;0;2.803909276;3.811158224;1.665845;66.91777978;9.82459;5.98097224;0;4.240334413;195.2376646;116.2133953;63.35507869;118.122328
0;0;0;0;7.144845027;1.729804586;0.034185861;0.102557584;0.232463857;0;2.873284659;3.905455341;1.621017;65.23043718;10.41595;6.081372555;0;4.11857876;192.0630481;118.8366834;60.59159373;117.4438341
0;0;0;0;7.227593143;1.74983834;0.034581785;0.103745356;0.235156141;0;2.994376063;4.070046437;1.576084;63.40335156;10.91219;6.165368139;0;3.997089547;189.4846625;121.5344239;57.85214156;116.3742509
0;0;0;0;7.35415561;1.780479779;0.035187347;0.105562042;0.239273962;0;19.12825192;25.99969808;1.531491;61.60484462;11.24737;6.187269085;0;3.87595559;187.9453028;123.7057138;55.18949434;115.3134251
0;0;0;0;7.992403142;1.935002866;0.038241163;0.11472349;0.260039911;0;10.32298577;14.03131423;1.48135;59.59428534;11.44343;6.143425237;0;3.752750657;187.5241887;125.3440103;52.80738213;114.4062875
0;0;0;0;8.758581184;2.120498602;0.041907087;0.125721261;0.284968192;0;3.394761956;4.614263044;1.424089;57.25893417;11.59777;6.053388013;0;3.622678801;188.3047091;126.8233045;50.69478738;113.6407635
0;0;0;0;9.279435835;2.246600255;0.044399215;0.133197644;0.301914659;0;3.257460816;4.427639184;1.365835;54.78774048;11.82322;5.950722082;0;3.494165225;190.9898326;128.8130548;48.87167603;113.1491159
0;0;0;0;9.761911333;2.363410112;0.04670771;0.140123129;0.317612426;0;16.83228057;22.87894443;1.3097;52.35525178;12.12152;5.891983912;0;3.369482752;193.7074778;131.2049922;47.3721412;112.9986413
0;0;0;0;10.71107437;2.59320748;0.05124916;0.153747479;0.348494286;0;14.23296875;19.34588125;1.254575;50.08935957;12.38651;5.901717666;0;3.247464694;195.2118141;134.5863406;46.22314402;113.3500444
0;0;0;0;11.51748027;2.788442593;0.055107561;0.165322683;0.374731416;0;3.814867205;5.185282795;1.201179;47.9145291;12.61334;5.926975079;0;3.129269667;194.8941023;139.1803552;45.7900892;113.8042615
0;0;0;0;11.97329742;2.898798323;0.057288504;0.171865513;0.38956183;0;4.215548746;5.729901254;1.150193;45.94980073;12.73484;5.890095899;0;3.016920203;193.1512736;146.0063569;45.98503447;114.2301871
0;0;0;0;12.38278597;2.997937657;0.05924778;0.177743339;0.402884903;0;4.404921956;5.987303044;1.100971;44.1079382;12.6938;5.85774795;0;2.908962985;189.5046758;154.4290254;46.86946014;114.1998312
0;0;0;0;12.5730179;3.043993808;0.06015798;0.180473941;0.409074267;0;4.874111012;6.625038988;1.057381;42.4012431;12.64785;5.792087066;0;2.804473543;184.9374642;163.5279303;48.67572645;114.2500902
0;0;0;0;12.48823621;3.023467714;0.059752326;0.179256979;0.406315819;0;5.111360008;6.947514992;1.015452;40.83556619;12.59789;5.672596845;0;2.710250169;180.8605795;173.2685194;50.31226198;114.7816336
0;0;0;0;12.43802533;3.011311397;0.059512083;0.178536249;0.404682164;0;5.342823218;7.262126782;0.977729;39.30656901;12.49951;5.536450158;0;2.631399657;177.6367635;178.9610756;51.16460609;115.859922
0;0;0;0;12.37598273;2.996290557;0.059215228;0.177645685;0.402663553;0;5.567356201;7.567318799;0.943572;38.0797108;12.36457;5.398625237;0;2.567942193;174.8207194;181.1133051;51.42428398;116.0081145
0;0;0;0;12.19029862;2.951335456;0.058326788;0.174980363;0.396622156;0;5.599909192;7.611565808;0.920125;37.02289951;12.19894;5.286435331;0;2.511226504;171.802874;181.6075134;51.24299421;115.1359661
0;0;0;0;12.08092913;2.924856526;0.057803489;0.173410466;0.393063723;0;5.672263301;7.709911699;0.897125;36.10133066;12.0438;5.199922397;0;2.455875318;168.3330607;180.3679196;50.69923443;113.9506085
0;0;0;0;11.88744348;2.878012631;0.05687772;0.17063316;0.386768496;0;5.701955189;7.750269811;0.876094;35.26437273;11.87709;5.133044795;0;2.402046078;164.2319932;177.1647905;49.84133364;112.3041616
0;0;0;0;11.59593939;2.807437958;0.055482964;0.166448891;0.377284152;0;5.718613165;7.772911835;0.856297;34.48502222;11.70755;5.052363722;0;2.348822386;159.834895;171.9632313;48.63266093;110.3387385
0;0;0;0;11.26953172;2.728412943;0.053921204;0.161763613;0.36666419;0;5.717246193;7.771053807;0.836974;33.70574672;11.53246;4.954061199;0;2.294855888;155.1742878;165.7641338;47.13320233;108.0594761
0;0;0;0;10.9847939;2.659476418;0.052558822;0.157676467;0.357399993;0;6.632004313;9.014420687;0.817587;32.96555127;11.34961;4.843297792;0;2.242855405;150.3060421;159.1557434;45.52244757;105.4189059
0;0;0;0;10.80654159;2.616320596;0.051705941;0.155117822;0.351600396;0;19.53945596;26.55861904;0.799261;32.29128932;11.18594;4.725276025;0;2.192921861;145.7980367;152.7399539;44.04739345;102.7808129
0;0;0;0;10.73263029;2.598426282;0.051352298;0.154056894;0.349195627;0;9.695800264;13.17882474;0.781645;31.66165812;11.07451;4.712143849;0;2.145454919;142.6117457;147.4653373;42.82207215;100.2500923
0;0;0;0;10.63357658;2.574444857;0.050878357;0.152635071;0.345972827;0;5.730089366;7.788510634;0.76403;31.13344;11.06801;4.933670662;0;2.099941881;141.0406983;144.5713147;41.77345656;98.13455781
0;0;0;0;10.56070056;2.556801189;0.050529668;0.151589003;0.343601741;0;5.85098685;7.95283815;0.743961;30.55924095;11.22939;5.142904416;0;2.05668552;141.6961353;144.3940893;40.93351093;96.52121823
0;0;0;0;10.68142112;2.58602827;0.051107278;0.153321834;0.347529491;0;6.118086684;8.315888316;0.722861;29.9106323;11.46318;5.30821041;0;2.013869192;142.5175162;146.7249222;40.24515964;96.0439079
0;0;0;0;11.04517266;2.674094434;0.052847716;0.158543148;0.359364469;0;6.568996473;8.928778527;0.698388;29.06504826;11.68323;5.332922397;0;1.968622595;142.8719191;148.7368569;39.68252555;96.92595367
0;0;0;0;11.72937905;2.839744401;0.056121431;0.168364293;0.38162573;0;7.24955744;9.85381756;0.671003;28.09749848;11.79792;5.257401893;0;1.914514803;141.8837603;149.7512002;39.27997939;99.33103821
0;0;0;0;12.91643368;3.127136574;0.061801118;0.185403354;0.420247603;0;8.363543678;11.36798132;0.642881;27.03251114;11.78167;5.124359937;0;1.852446063;139.8307249;151.2893823;39.00379762;103.9494086
0;0;0;0;14.5059148;3.51195832;0.069406291;0.208218873;0.471962778;0;9.833610045;13.36613995;0.614445;25.94704616;11.72252;4.963585174;0;1.783179369;136.8437335;152.1862245;38.74506852;110.1579165
0;0;0;0;16.37458762;3.964373846;0.078347309;0.235041928;0.532761703;0;11.57230217;15.72942283;0.587676;24.96299425;11.61161;4.804488644;0;1.714078191;133.202139;151.8711584;38.72920502;116.1968682
0;0;0;0;18.56434384;4.494525351;0.088824612;0.266473835;0.604007359;0;13.89945954;18.89256546;0.565789;24.08770637;11.4006;4.62789653;0;1.649478258;129.797369;150.6873859;39.52537067;119.8248957
0;0;0;0;20.78915154;5.033163005;0.099469625;0.298408874;0.676393447;0;16.99202547;23.09607453;0.545746;23.26229993;11.09989;4.429864984;0;1.594191664;127.5642135;149.2970652;41.17373777;122.1881062
0;0;0;0;23.03547819;5.577010508;0.110217599;0.330652797;0.749479673;0;20.29332474;27.58330026;0.526118;22.46292184;10.72655;4.223190536;0;1.543914976;125.5778892;147.7651274;42.54077944;124.6708049
0;0;0;0;24.90396614;6.029381276;0.119157733;0.357473198;0.810272583;0;22.88987082;31.11260418;0.507409;21.69954839;10.30795;4.027567256;0;1.49660144;123.3672487;146.9442222;43.41758143;127.5776345
0;0;0;0;26.36995365;6.384304568;0.126172027;0.378516081;0.857969784;0;24.26418562;32.98061438;0.491054;20.95995302;9.88205;3.868735047;0;1.456429341;120.8505709;146.0152779;44.11752469;131.0324915
0;0;0;0;27.22490659;6.591293175;0.130262711;0.390788133;0.885786435;0;24.70816518;33.58408482;0.474163;20.24818623;9.45117;3.737962902;0;1.425429286;117.9894967;144.0050244;44.5892706;135.9708098
